Method  Time/s   min/m     max/m      mean/m    rmse/m   error/%


LI	1.2	-0.95	0.99	-0.001856	0.05	1.03
IDW	1.79	-1.29	0.6	-0.001901	0.05	0.81
LR	1.91	-1.21	0.66	0.002999	0.03	0.47

LI2	1.84	-1.56	1.9	-0.005462	0.17	1.77
IDW2	1.92	-1.62	1.64	-0.003891	0.12	1.98
LR2	4.97	-1.3	1.83	0.005079	0.12	1.64

LI3	8.44	-1.4	1.91	-0.002001	0.15	1.88
IDW3	8.58	-1.58	1.59	-0.003416	0.12	1.96
LR3	12.7	-1.59	62.12	0.014164	0.28	1.02


